n 435666, m 1057066
Time 0.1149 Cost 5177543
Time 0.1127 Cost 1815375
Time 0.1124 Cost 1862979
Time 0.1122 Cost 1674431
Time 0.1125 Cost 1831562
Time 0.1100 Cost 1429685
Time 0.1102 Cost 1432979
Time 0.1101 Cost 1459775
Time 0.1102 Cost 1503827
Time 0.1101 Cost 1497754
Time 0.1103 Cost 1495784
Time 0.1101 Cost 1831442
Time 0.1101 Cost 1729391
Time 0.1102 Cost 1666492
Time 0.1125 Cost 2201550
Time 0.1127 Cost 2359950
Time 0.1125 Cost 2336226
Time 0.1127 Cost 2313681
Time 0.1127 Cost 2362318
Time 0.1127 Cost 2430879
Time 0.1126 Cost 2665830
Time 0.1126 Cost 2418151
Time 0.1126 Cost 2408318
Time 0.1128 Cost 2400816
Time 0.1125 Cost 2853431
Time 0.1124 Cost 2857618
Time 0.1124 Cost 2414923
Time 0.1124 Cost 2646678
Time 0.1125 Cost 5629563
Time 0.1125 Cost 2166670
Time 0.1125 Cost 2222870
Time 0.1127 Cost 2222821
Time 0.1126 Cost 2187097
Time 0.1129 Cost 2251427
Time 0.1129 Cost 2251626
Time 0.1123 Cost 2207071
Time 0.1127 Cost 2184786
Time 0.1104 Cost 2741727
Time 0.1103 Cost 2736198
Time 0.1097 Cost 2932315
Time 0.1097 Cost 2929267
Time 0.1100 Cost 2888823
Time 0.1101 Cost 2886747
Time 0.1111 Cost 2617288
Time 0.1110 Cost 2618539
Time 0.1124 Cost 2224544
Time 0.1126 Cost 2220144
Time 0.1108 Cost 2605625
Time 0.1109 Cost 2597132
Time 0.1099 Cost 3008254
Tot 5.5853
Cost 3008254 - Time 7.051
